Codigo,Descripcion,Cupo,Watts,Industrial,Refrigerado,Pesable
145000800,BIO FRESCURA CAMPOS DE HIELO 20*800,0.08,0,0,0,0
144000800,BIO FRESCURA DESIERTO FLO 20*800 GRS,0.06,0,0,0,0
141000800,BIO FRESCURA 20*800 GRS,0.06,0,0,0,0
141000400,BIO FRESCURA 24*400 GRS,0.06,0,0,0,0
53002750,WYN ANTIGRASA 6*750 ML,0.08,0,0,0,0
52002750,WYN LIMPIAVIDRIOS MULTIUSO 6*750 ML RTS,0.08,0,0,0,0
51002750,WYN LAVALOZA 6X750MLRTS,0.08,0,0,0,0
30001365,AC. CHEF EXTRAVIRGEN 12X500,0.03,1,0,0,0
30001363,AC CHEF EXTRAVIRGEN 12*250,0.03,1,0,0,0
30001362,ACEITE CHEF EXTRA VIRGEN 6X1,0.03,1,0,0,0
30001158,ACEITE CRISTAL VEGETAL 12X900 nacional,0.03,1,0,0,0
30001151,LENTEJAS NEGRAS WASIL 16X380,0.03,1,0,0,0
30001150,CALO CRECER +1 BL 1.5KG,0.03,1,0,0,0
30001128,LECHE LONCO CHOCO 12X500,0.03,1,0,0,0
30001127,CREMA LISTA LONCOLECHE 12*500,0.03,1,0,0,0
30001094,Yogur Griego CF FRUTILLA 8 UN 150 Grs,0.03,1,0,1,0
30001093,Yogur Griego CF PAPAYA 8 UN 150 Grs,0.03,1,0,1,0
30001092,Yogur Griego CF DURAZ 8 UN 150 Grs,0.03,1,0,1,0
30001091,Yogur Griego CF FRUTOS DEL BOS 8 UN 150,0.03,1,0,1,0
30001086,Yogur Griego CLASSIC NATURAL 8 UN 150 Gr,0.03,1,0,1,0
30001081,Yogur Griego trozo FRUTILLA 8 UN 110 gr,0.03,1,0,1,0
30001080,Yogur Griego trozo DURAZ 8 UN 110 grs,0.03,1,0,1,0
30001079,Yogur Griego trozo PAPAYA 8 UN 110 grs,0.03,1,0,1,0
30001076,YOG GRIE SABOR CHIRIMOYA 8*110 GRS,0.03,1,0,1,0
